name,size,sediaan,no_ie,prinsipal,indikasi,kandungan,batch,status,ref2,link2,ref,link
KOMIX OBH,"DU M
S, 5 SACHET © 7
L",S1RUP,DTL1402813237A1,BINTANG TOEDJOE,OBAT BATUK ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
KOMIX OBH,"DUS, 6 SACHET © 7
ML",SIRUP,DTL1402813237A1,BINTANG TOEDJOE,"OBAT BATUK DAN FLU ANAK DAN
DEWASA",,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
KOMIX OBH KID (RASA MADU),"DUS, 10 SAC HET © 5
ML",SIRUP,DTL1402813337A1,BINTANG TOEDJOE,OBAT BATUK DAN FLU ANAK,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
KOMIX RASA JERUK NIPIS,"DUS, HET @ 7 30 SAC
ML",SIRUP,DTL9502807737A1,BINTANG TOEDJOE,OBAT BATUK DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
KONIDIN OBH,"DUS, HET 30 SAC © 7
ML",SIRUP,DBL9913018737A1,KONIMEX,OBAT BATUK ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACONS,"DUS, 1 BOTOL @ 60 ML",SIRUP,DBL0913705337A1,MAHAKAM BETA FARMA,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTOFID,"DUS, 1 BOTOL @ 60 ML",SIRUP,DBL1 61 571 8237A1,ETERCON PHARMA,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTULAX,"DUS, 1 BOTOL @ 60 ML",SIRUP,DBL8709303937A1,IKAPHARMINDO PUTRAMAS,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTULAX,"DUS, OL @ 120 1 BO T
ML",SIRUP,DBL8709303937A1,IKAPHARMINDO PUTRAMAS,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTULAX (RASA COKLAT),"TOL @ 200  DUS, 1 BOML",SIRUP,DBL0309317237A1,IKAPHARMINDO PUTRAMAS,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTULOSE,BOTOL @ 60 ML,SIRUP,GBL1109320337A1,IKAPHARMINDO PUTRAMAS,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTULOSE,BOTOL @ 120 ML,SIRUP,GBL1109320337A1,IKAPHARMINDO PUTRAMAS,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTULOSE,"DUS, 1 BOTOL @ 60 ML",SIRUP,GBL1615719037A1,ETERCON PHARMA,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LACTULOSE,"DUS, 1 BOTOL @ 60 ML",SIRUP,GBL2005064437A1,DEXA MEDICA,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LANTULOS,"DUS, 1 BOTOL @ 60 ML",SIRUP,DBL1819619937A1,PERTIWI AGUNG,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LAPICEF,"DUS, 1 BOTOL @ 15 ML",DROPS,DKL1 61 33201 36A1,LAPI LABORATORIES,ANTIBIOTIKA ANAK,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LAXALOSAN,"DUS, 1 BOTOL @ 60 ML",SIRUP,DBL2122261237A1,SANBE FARMA,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LEVOPRONT,"DUS, 1 BOTMLOL © 120",SIRUP,DKL0004126537A1,COMBIPHAR,OBAT BATUK ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
LEVOSIF,"DUS, 1 BOTOL © 100
ML",S1RUP,DKL1605054437A1,DEXA MEDICA,OBAT BATUK ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
